average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
9.552, 8.72, 10.32, 0.0
25.856, 25.12, 26.8, 0.1
29.664, 28.72, 30.48, 0.2
30.832, 29.6, 31.92, 0.3
30.688, 28.96, 32.64, 0.4
29.904, 28.56, 31.68, 0.5
28.528, 27.76, 29.2, 0.6
28.176, 27.44, 30.24, 0.7
27.024, 26.24, 27.68, 0.8
24.752, 22.32, 26.88, 0.9
25.28, 24.24, 26.0, 1.0
