average delivered (percent), min delivered (percent), max delivered (percent), diffusion distance t
90.6, 87.25, 93.25, 1
90.525, 87.5, 93.0, 2
91.2875, 88.5, 93.5, 4
91.025, 88.25, 94.0, 6
91.7375, 90.25, 94.25, 8
91.3125, 89.0, 93.5, 10
91.5625, 88.75, 94.75, 12
90.8375, 87.0, 92.75, 14
91.0125, 88.75, 94.25, 16
91.525, 89.0, 93.0, 32
90.4125, 88.5, 92.5, 64
90.4875, 88.25, 93.0, 128
