average delivered (percent), min delivered (percent), max delivered (percent), diffusion distance t
72.69375, 69.5, 77.625, 1
75.94375, 71.5, 79.0, 2
76.86875, 73.5, 80.375, 4
77.35, 74.5, 78.625, 6
76.5625, 74.5, 79.125, 8
76.25625, 74.25, 79.5, 10
76.6375, 73.75, 78.75, 12
75.625, 70.375, 79.125, 14
76.05625, 73.625, 77.75, 16
75.3125, 72.625, 77.5, 32
74.00625, 70.625, 76.25, 64
72.5875, 70.125, 75.625, 128
