average delivered (percent), min delivered (percent), max delivered (percent), diffusion distance t
60.0875, 57.125, 63.25, 1
63.45625, 59.125, 67.25, 2
64.4125, 60.875, 67.0, 4
64.325, 62.0, 66.375, 6
63.81875, 60.75, 66.0, 8
64.58125, 62.75, 67.625, 10
63.6875, 61.25, 67.375, 12
63.90625, 60.25, 66.5, 14
63.55625, 60.625, 66.75, 16
62.85625, 59.0, 65.875, 32
61.71875, 59.5, 64.5, 64
60.41875, 56.875, 62.875, 128
