average delivered (percent), min delivered (percent), max delivered (percent), diffusion distance t
73.825, 69.0, 77.5, 1
82.625, 77.0, 89.5, 2
81.9, 74.5, 86.5, 4
82.35, 77.0, 86.5, 6
80.8, 74.5, 85.5, 8
81.9, 77.5, 88.5, 10
81.35, 76.5, 86.5, 12
80.825, 75.0, 86.5, 14
81.225, 77.0, 86.5, 16
82.05, 78.0, 89.0, 32
81.2, 74.0, 88.0, 64
81.95, 76.5, 87.0, 128
