average delivered (percent), min delivered (percent), max delivered (percent), diffusion distance t
70.35, 65.5, 73.75, 1
77.925, 72.25, 82.25, 2
78.1, 74.0, 82.75, 4
78.275, 73.25, 84.0, 6
78.525, 75.0, 81.25, 8
77.75, 73.25, 80.75, 10
77.7, 73.5, 82.0, 12
78.225, 74.25, 82.5, 14
77.125, 74.0, 81.25, 16
77.0625, 73.75, 80.25, 32
77.275, 73.0, 80.25, 64
74.975, 72.0, 78.25, 128
