average delivered (percent), min delivered (percent), max delivered (percent), diffusion distance t
94.8, 92.0, 97.5, 1
94.825, 92.0, 97.0, 2
95.2, 91.0, 99.0, 4
94.525, 93.0, 97.5, 6
94.625, 90.5, 98.5, 8
95.1, 92.0, 97.5, 10
95.2, 92.0, 97.0, 12
94.55, 89.5, 96.5, 14
94.975, 92.5, 98.0, 16
94.8, 92.0, 97.5, 32
94.95, 92.0, 97.0, 64
94.425, 90.5, 98.5, 128
