average delivered (percent), min delivered (percent), max delivered (percent), Message Count
95.0, 84.0, 100.0, 25
95.8, 90.0, 100.0, 50
95.0666666667, 92.0, 98.6666666667, 75
94.75, 91.0, 99.0, 100
94.8, 89.6, 98.4, 125
95.1666666667, 91.3333333333, 99.3333333333, 150
95.0, 89.7142857143, 98.2857142857, 175
95.2, 93.5, 97.5, 200
94.3555555556, 91.5555555556, 99.1111111111, 225
94.36, 92.0, 96.4, 250
93.5272727273, 91.2727272727, 95.6363636364, 275
93.2833333333, 91.0, 95.6666666667, 300
93.3076923077, 90.4615384615, 95.0769230769, 325
92.5, 90.5714285714, 94.8571428571, 350
91.3866666667, 89.6, 93.8666666667, 375
91.1, 87.5, 94.25, 400
90.0117647059, 87.7647058824, 91.2941176471, 425
88.7111111111, 86.0, 91.1111111111, 450
89.0210526316, 87.1578947368, 92.4210526316, 475
87.79, 84.4, 90.0, 500
86.8952380952, 84.380952381, 89.1428571429, 525
84.8909090909, 82.3636363636, 86.3636363636, 550
83.9826086957, 81.7391304348, 86.7826086957, 575
82.8333333333, 80.8333333333, 86.0, 600
81.752, 79.84, 83.2, 625
81.2, 78.9230769231, 84.7692307692, 650
80.0740740741, 78.3703703704, 81.9259259259, 675
78.7357142857, 76.0, 81.5714285714, 700
77.9172413793, 73.7931034483, 80.1379310345, 725
76.6533333333, 74.0, 79.0666666667, 750
75.2838709677, 72.6451612903, 77.5483870968, 775
74.05625, 71.75, 76.125, 800
